Ville,Chanson,Artiste,complete_address,lat,lng,spotify
Paris,"2, 3 jours à Paris ",Mickey D,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6bwPlv1fknqfuzWT6DT0EX
Paris,À Paris ,Yves Montand ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2tSpxPGywYcnfanQIT30gs
Paris,À Paris ,Riff Cohen,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4poalIefuPlcm4PcnomXJW
Paris,À Paris dans chaque faubourg ,Lys Gauty ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/065kiPgjQAjBS3JW1Erzab
Paris,À Paris la grande ville ,Malicorne ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1Lw39uVSWxL38NrL8JQVzv
Paris,À Paris la nuit ,Fréhel,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3e0XOlSyhmHme2n05YT3mn
Paris,À Paris tiguidiguidi ,Henry Garat,"Paris, France",48.853536,2.348271,
Paris,À Paris y'a des ponts ,Bernard Dimey,"Paris, France",48.853536,2.348271,
Paris,Adieu mon vieux Paris ,Paulus ,"Paris, France",48.853536,2.348271,
Paris,Adieu Paris ,Papillon ,"Paris, France",48.853536,2.348271,
Paris,Adieu Paris ,Charles et Johnny,"Paris, France",48.853536,2.348271,
Paris,Adieu Paris ,Pills et Tabet,"Paris, France",48.853536,2.348271,
Paris,Adieu Paris ,Berthe Sylva,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4s7HoxBP6aTaMfFFMBTatP
Paris,Adieu Paris ,Lala,"Paris, France",48.853536,2.348271,
Paris,Adieu Paris ,Les Fils de joie,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/11RdYZPdwH7m2ySImfA2gN
Paris,Ah ! les p'tites femmes de Paris ,Brigitte Bardot et Jeanne Moreau,"Paris, France",48.853536,2.348271,
Paris,L'Air de Paris ,Francis Lemarque,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5DPjOZLNcxNOlh2yQYM8ve
Paris,Allô Paris ,Mano Solo,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7fuV0qMP7cBAApFvleb1T9
